OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
1,30180,Memphis ISD,Memphis,96904,096-904,096904,4830180,4,0.170096263358573,2.46856868846675
2,34380,Patton Springs ISD,Patton Springs,63906,063-906,063906,4834380,5,0.098241526279935,1.48385178505392
3,00002,Spur ISD,Spur,63903,063-903,063903,4800002,3,0.133311982988516,2.11686425104595
4,40080,Sherman ISD,Sherman,91906,091-906,091906,4840080,1,0.0192607257199597,1.03926041346121
5,38400,S and S Cons ISD,S and S Cons,91914,091-914,091914,4838400,6,0.0326602883151281,1.31126668489646
6,35580,Pottsboro ISD,Pottsboro,91913,091-913,091913,4835580,7,0.0243559881803321,1.05968629345731
7,44730,Waxahachie ISD,Waxahachie,70912,070-912,070912,4844730,6,0.0474461384658298,1.30203197981109
8,34110,Palmer ISD,Palmer,70910,070-910,070910,4834110,1,0.0136895817665845,0.732817698622596
9,18540,Ennis ISD,Ennis,70903,070-903,070903,4818540,7,0.0646154466235203,1.89040647443609
10,16710,Denison ISD,Denison,91903,091-903,091903,4816710,3,0.0245084500731991,1.12939167265098
11,09780,Bells ISD,Bells,91901,091-901,091901,4809780,2,0.0146991563251504,0.738710267746199
12,45630,Whitesboro ISD,Whitesboro,91909,091-909,091909,4845630,1,0.043595025873401,1.61460276648581
13,14580,Collinsville ISD,Collinsville,91902,091-902,091902,4814580,3,0.0132412691320951,0.717002924528536
14,18750,Evadale ISD,Evadale,121906,121-906,121906,4818750,2,0.00682171062430825,0.554420164842724
15,12090,Buna ISD,Buna,121903,121-903,121903,4812090,7,0.0534706864109467,1.31141828238627
16,39300,Santa Gertrudis ISD,Santa Gertrudis,137904,137-904,137904,4839300,5,0.0466677720789903,1.1805701564135
17,37320,Riviera ISD,Riviera,137903,137-903,137903,4837320,3,0.169266468688647,2.3637693009105
18,36930,Ricardo ISD,Ricardo,137902,137-902,137902,4836930,2,0.0189834346651878,0.702976653321422
19,25680,Kingsville ISD,Kingsville,137901,137-901,137901,4825680,1,0.0244312607806023,1.12961978699565
20,08490,Apple Springs ISD,Apple Springs,228905,228-905,228905,4808490,3,0.0274737710192312,1.14339759316628
21,43200,Trinity ISD,Trinity,228903,228-903,228903,4843200,2,0.0388250421851808,1.3569885970693
22,25470,Kennard ISD,Kennard,113906,113-906,113906,4825470,1,0.0810820523458915,2.03548633181563
23,24730,Jefferson ISD,Jefferson,155901,155-901,155901,4824730,1,0.100595803368606,2.27323617945872
24,09090,Avinger ISD,Avinger,34902,034-902,034902,4809090,4,0.0175838915195072,0.850386712571964
25,34550,Pecos-Barstow-Toyah ISD,Pecos-Barstow-Toyah,195901,195-901,195901,4834550,2,0.55603144840984,4.67455158074847
26,09330,Balmorhea ISD,Balmorhea,195902,195-902,195902,4809330,4,0.130011736433062,1.73335774404445
27,42420,Terrell County ISD,Terrell County,222901,222-901,222901,4842420,6,0.572287481880721,3.85833894644852
28,17100,Dilley ISD,Dilley,82902,082-902,082902,4817100,5,0.0818087283710156,1.59606411543816
29,41250,Springlake-Earth ISD,Springlake-Earth,140907,140-907,140907,4841250,3,0.049931346519088,1.1046492793143
30,42090,Tahoka ISD,Tahoka,153904,153-904,153904,4842090,3,0.0910294304669605,1.88376656054125
31,33390,O'Donnell ISD,O'Donnell,153903,153-903,153903,4833390,4,0.0813314399356386,1.79233655031796
32,16350,Dawson ISD (Dawson),Dawson (Dawson),58902,058-902,058902,4816350,7,0.0344812741127498,0.842385431826218
33,40290,Silverton ISD,Silverton,23902,023-902,023902,4840290,1,0.140919861613611,1.66857282269517
34,32220,Nazareth ISD,Nazareth,35903,035-903,035903,4832220,6,0.0276113968641312,0.862409556801513
