IssuerName,IssuerType,County,ElecDate,PropNum,Results,$req,Purpose,PurposeDescription,VotesFor,VotesAgainst
"Sunnyvale ISD","ISD","Dallas","10/16/1999","1","Defeated","6900000.0000","Building","School Building","164","527"
"Texarkana ISD","ISD","Bowie","5/22/1999","1","Carried","27000000.0000","Building","School Building","1","0"
"Vidor ISD","ISD","Orange","5/6/2017","1","Defeated","73500000.0000","Building","School  Building","881","1276"
"Woden ISD","ISD","Nacogdoches","5/4/2019","1","Carried","8600000.0000","Building","School Building & Safety","110","58"
"Academy ISD","ISD","Bell","5/8/2010","1","Defeated","14995000.0000","Building","School Building","261","389"
"Academy ISD","ISD","Bell","11/2/2010","1","Defeated","13425000.0000","Building","School Building","645","683"
"Academy ISD","ISD","Bell","5/11/2013","1","Carried","17200000.0000","Other","School Building & Security","413","293"
"Agua Dulce ISD","ISD","Nueces","5/7/2016","1","Carried","5000000.0000","Renovations","School Renovation","119","27"
"Alamo Heights ISD","ISD","Bexar","5/2/1998","1","Carried","22000000.0000","Building","School Building","1005","121"
"Alamo Heights ISD","ISD","Bexar","5/6/2017","1","Carried","135000000.0000","Building","School Building & Technology","3704","904"
"Alamo Heights ISD","ISD","Bexar","9/23/2000","1","Carried","7500000.0000","Building","School Building","319","67"
"Alamo Heights ISD","ISD","Bexar","5/7/2005","1","Carried","47900000.0000","Building","School Building","1","0"
"Alamo Heights ISD","ISD","Bexar","5/8/2010","1","Carried","44000000.0000","Building","School Building","1780","596"
"Alba-Golden ISD","ISD","Wood","2/2/2002","1","Defeated","6800000.0000","Building","School Building","204","748"
"Alba-Golden ISD","ISD","Wood","1/24/2004","1","Carried","2500000.0000","Building","School Building","358","319"
"Allen ISD","ISD","Collin","11/3/2015","1","Carried","272580000.0000","Building","School Building and Technology","5175","1725"
"Allen ISD","ISD","Collin","11/2/2021","1","Defeated","15900000.0000","Other","Athletic Facilities Improvements","3576","5222"
"Allen ISD","ISD","Collin","11/2/2021","2","Defeated","7700000.0000","Building","SchoolBuildingAthleticImprovements","3543","5252"
"Allen ISD","ISD","Collin","11/3/2020","1","Carried","189300000.0000","Building","School  Building","21994","21947"
"Allen ISD","ISD","Collin","11/3/2020","2","Defeated","7200000.0000","Renovations","Athletic Facility Improvements","17048","26734"
"Alpine ISD","ISD","Brewster","5/14/2011","1","Defeated","22000000.0000","Building","Athletic Facility & School Building","261","1550"
"Alpine ISD","ISD","Brewster","11/6/2018","1","Carried","22588000.0000","Building","School  Building","1644","1602"
"Alpine ISD","ISD","Brewster","5/5/2018","1","Defeated","29500000.0000","Building","School  Building","642","703"
"Alto ISD","ISD","Cherokee","11/5/2019","1","Carried","10500000.0000","Building","School Building & Gymnasium","402","212"
"Alto ISD","ISD","Cherokee","11/6/2007","1","Carried","6300000.0000","Building","School Building","307","157"
"Alvarado ISD","ISD","Johnson","5/19/2001","1","Carried","21000000.0000","Building","School Building","253","95"
